title,genres,overview
The Dark Knight,Action Crime Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
Inception,Action Sci-Fi Thriller,A thief enters people's dreams to steal secrets and plant ideas.
Interstellar,Adventure Drama Sci-Fi,Astronauts travel through a wormhole in search of a new home for humanity.
The Matrix,Action Sci-Fi,A hacker discovers reality is a simulation controlled by machines.
Pulp Fiction,Crime Drama,The lives of criminals intertwine in a series of violent and darkly comic events.
Fight Club,Drama,An insomniac office worker forms an underground fight club.
Forrest Gump,Drama Romance,A simple man witnesses and influences major historical events.
The Shawshank Redemption,Drama,Two imprisoned men form a friendship over decades.
The Godfather,Crime Drama,The aging patriarch of a mafia family transfers control to his reluctant son.
Gladiator,Action Adventure Drama,A Roman general seeks revenge after betrayal by an emperor's son.
Avatar,Action Adventure Fantasy,A marine on an alien planet becomes involved with the native inhabitants.
Titanic,Drama Romance,Two young lovers meet aboard the doomed RMS Titanic.
The Avengers,Action Adventure Sci-Fi,Earth's mightiest heroes unite to stop a global threat.
Joker,Crime Drama Thriller,A failed comedian descends into madness and becomes the Joker.
Toy Story,Animation Adventure Comedy,Toys come to life when humans are not around.
Finding Nemo,Animation Adventure Family,A clownfish searches the ocean for his missing son.
Shrek,Animation Adventure Comedy,An ogre embarks on a journey to rescue a princess.
Harry Potter and the Sorcerer's Stone,Adventure Fantasy Family,A young wizard begins his studies at Hogwarts.
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy,A hobbit begins a quest to destroy a powerful ring.
Star Wars,Action Adventure Sci-Fi,A farm boy joins a rebellion against a galactic empire.
